Item,Type,Description,Product type,Main type,Items,Email (from Contacts) (from Customer) (from Orders) (from Items),Customers,Unit price,Picture,Weight (g),Material,Comment,Unit cost ¥,For sales,Costs proposed by suppliers
Ceramic - Blue Texas Sotol  with Swing Cap 700ml gold,Ceramic,Blue Texas Sotol  with Swing Cap 700ml gold,,Ceramic,['rec9nr6S4mUuICKX0'],"[None, 'davidhinkle@desertdoor.com']",['rec9wwwTqPKsg7XVs'],3.89,"[{'id': 'att5IYdfVivwvekgA', 'width': 1080, 'height': 1920, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/D8HBFR447zEYzFcpAlPSig/0o4sJ1KBZCwZRfRa6Mf8_3dGjFbizCOgCACHyyvO0_KXQtJmqnYMbxTU21F3TG8ky_CNvu8RuskwqwuYf9grlrpmaZ0ylUCve-uchnU3x4A/5_7a6VJVzWBfG-piDvT-GDXiNl_Do9_mjj8OH3stfro', 'filename': 'front side.jpg', 'size': 238059, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/eHLONPiDo7sWPsEhi2lavg/k6TvWBFu6YBb6sBMp6NJFrLfgwdfSKuiEv0XC1bFvk84yG777BRh_Rf-xzWwBCxBNdJLve62iWLuCzLV_gJtPA/vv7f50Eb90EsiKJsXtfdJJS0SpzeUuzJjF3jZdEGca4', 'width': 20, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/Tm2yv-XgEnO6a0OVW_6yHw/a_qgnsyK0GR8JckL1zPu-Y4tyK8taMGB0u9H_xaNXAJQ2qfsBYtK1G38wOkELvniTPRkqwWpwdZjVyMEP8p6kg/iXwVHPqdyJXngkbslkBOesnwzpTWymZ5NP_Wc8LLHDg', 'width': 512, 'height': 910}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/OE2HD4VO_1PzJA-NOW3yMQ/P6-JLqNEkfoCNsnfM9gz1ysqSk3A4sut2AoycHUQHd3YGl7_Kz0y8a355HiZNsg7qdYtvv1fo91QT0PioFqyJQ/qDZaMXfSOnYzqb3zJ5cWUS61jfEXYyfGNxwAbMTVSJU', 'width': 3000, 'height': 3000}}}]",660.0,ceramic,,13.75,,
Ceramic - Custom Bottle,Ceramic,Custom Bottle,,Ceramic,"['rechdGRQsY5WbSzZy', 'recKUmJphUGGBEPLj', 'rec7rKOc92fni44x1', 'reca8Ka3DTDrAXigA', 'recclHtKpG5DfvWuT', 'rec73OM7G9dMJ0rq1', 'recIJWMrJDphegWyg', 'recvIcIRrpptdAFaO', 'recjLqjJpCqGLz89K', 'recNcOKuCo64eg2Ot', 'rect4LQaKSQ90V6bg', 'rech9GBCRmKBEZJAW', 'recdATa8mG5ZKRCjh', 'recqCVTC7tOiPKhnm', 'recjXVtllllLjJlkm']","['horner.oliver@gmail.com', 'olly@palmarae.com>', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'Mark M mark@saharex.com', 'info@cubrands.be', 'info@cubrands.be', 'mina@dragoscantina.com', 'prigney@thesheddistillery.com', 'claire.s.bay@gmail.com', 'horner.oliver@gmail.com', 'olly@palmarae.com>']",,,,,,,,True,
Glass - CENOTE MATT BLACK SPRAY 750ML,Glass,CENOTE MATT BLACK SPRAY 750ML,['Repeat order'],Glass,,,['rec6HZLAzIYFQUUuw'],0.91,"[{'id': 'att5JP1LOLwAYnZhr', 'width': 1280, 'height': 1706, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/Gus7ZwIiB956bSlH47WwpQ/mY7brD6DPj_5PzVMrXOQ5LDM574k9nrwuj6TH_e4ISikXGgJYeBvBNrL77uBCXPJEZnJ8k1bkvzUz1hiTj7VJXU3kEVAkYBL5XNp6DnB9qeEq66RuFOJnGU-93VOfhdf/7G5yTFc_lxX5DhK55G41K1Ay6OUtZU9rVhpKcqxYJCA', 'filename': '4c92bfdd27e85bf65c99a6c0a63616d.jpg', 'size': 735183, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/IZAUg4ip1O_AnhY1u6SmGA/u9LLw-46D0GVN8hW_2kXJet5EE8FfG-obDrKfFwGraaO2ru3_GFf1ZUpM5Ocq5oinGF7593kr-kaZNqJ2pi4Cw/NL2GkypZ0LWwRa3oxaBck2VrJfaPN-Q_ysOJML3KNHc', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/M9MsFYDYG8tXxhDQoW008Q/RI-qdexuOkJ3g4GWvBkFChnp_l55X9jOIk50njCmlCQQLU4ReqRxbJPiVntCE0YjUmrZimbk2z3VTYBUtvYiyw/q8hOhqEUiYv8M6Tu9p4fIXEActLjK7NdZSGdYU1Ovq4', 'width': 512, 'height': 682}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/qZcGdVguQHeT5IDTtaZO9g/cDcn_aIVTg1HFgrljKALMzWBVUlrnTPyuEsnvIq5cgWAG8X_VmMfX_oKjT475jiML8gUNkJLi19xXybggnGWLg/2eWWEyBXY1soyfaAs5Y-3Iook-N1-zIJoLMdFc9ASJw', 'width': 3000, 'height': 3000}}}]",832.6,flint,,4.75,,
Glass - 12 Zodiac Signs,Glass,12 Zodiac Signs,['Repeat order'],Glass,['rectUDoK7ukzb158O'],"['Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com']",['recyN9PCcdYScELcF'],53.95,"[{'id': 'att8gC4oaieIhDUFD', 'width': 810, 'height': 1080, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/I6Z4P8B_kSohDhObqMsPuA/hIOeVXI2vrIaWUSXImjEA0vWUTvLNHiLIsxtktd1pQF87Qo0AR7w-k4qxDqTISU6G71LI1J7_AAu8NlFWUiejxFHPPtfwEOv9kZC3pawjW0vxuHio316nDB5-jfFzkXT/W9xj_BW7N7ANHRGm6oOc3nHZARLMjQYRaLvFgdalqss', 'filename': '68d35e5b15f7367fd06db6d94f69684.jpg', 'size': 137010, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/YJ14zLVrPneY77TOOMVkEw/CcyF7nD4JtHmx5x8rxEk_ri2ZKeK9RlhueZ4SbWy5SD6g_9lF9SB7QjZstxM9Hr9mHXqRNbQwyTuXez10oEauw/ONKdG9BSxV5wi1gmmlVSweo2qjKIfS6yB-nESRtJaiI', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/HU1e-0LD5n7uomyFXLOdkw/QAmeTG942XwfqeqeJoLH8gfvH-aHhfIPNc2cq7gFXw9DL6NBJFlHEi7vwqDC2FaxvjjAHcm7q9HyBtFzDZZSYQ/N0TIhDmUmIPB-JEyC8EaffgVNtqJynYghyfrYsENqM8', 'width': 512, 'height': 683}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/Ml0nXZpnNj09xbnvp7BQsQ/UGlgVHpSriexI4u6Z9J8F3ZsbjCqcYgupTbJU6vl-oQ-fqMgxsC2LkkFEm8X3poyVW34-Wh1oOuXnKlcBpk_nQ/kIH0TCcaKW00xXHliTElwkPtqQz4Tl6pjWNqu-ZTrgU', 'width': 3000, 'height': 3000}}}]",,gift box+glass bottle,,302.0,,
Accessories - wooden cap for Colored Lion+Bronze Lion+Mechanical Bull,Accessories,wooden cap for Colored Lion+Bronze Lion+Mechanical Bull,,Accessories,"['recWsQfJdG45AHOE5', 'recjvqQ99FF6dLeC4']","['Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com']",['recyN9PCcdYScELcF'],0.42,"[{'id': 'attnmhWLRhMOOAAw7', 'width': 1620, 'height': 1280, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/Jg7IZO4N_9OO8bMm_4CRow/JR9h2KiyI4YIYHG3FDER_6yQp-04Ug4-LsGeGKwe2LloPSwSYiHOoPY8ciWPuNaEIfKOA3BawfC53H4asZKvaTIsSCIp69p5AiieR1cmPb7RfJpI8xsy4KA092bypDVD/GSHiTv-7j6D-Q0pwFwPw-UqMu-DNOJk6SdKwQU_9r50', 'filename': '264c501cffada9f6c6367a43a45c597.jpg', 'size': 552071, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/buYuHHKP-78lYq2TgTecsg/bT0BF-hUx8Wq_wxBkYjzHNjwuFHjqKLMhW7VUGTQAJPDzo4HT_APdmgCn7y7DcKk5SjL5g_dtBtvjTqZBLjD7Q/nP5ZgUGeYH8g1oRqSiCll9C58wPAnRO8BYiFWEOv8y0', 'width': 46, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/h-RQz7XTU8vNXaAU1IyBIw/SbHz8BLcL-VwtPrixbISb7Gei07UDSIOumbuXrz_tKg5q4RhpuK9i-JJ7vvol9ij0Sz4png_wx3FrJNtvt2VKw/8qg_rQOf_2WksXrslvnjARWlCoI6nIKvp3B1GCSccSY', 'width': 648, 'height': 512}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/0sixzo57PqKQei_eumLwsA/p_U_r3vVhM5-3WBZgVlt1X8PZih88NLLuwFJUw0vqyteYaLcr9J18zFE11SnOa8BULPWU2pnj8_phDqjkE2DmA/VPs-TPqufXoTrg5HBSU9ch86oanM71LHoOJI6vYD1i0', 'width': 3000, 'height': 3000}}}]",,wooden + synthetic,,2.0,,
Accessories - LOGIA Ceramic 700ml Matt Black Cap- Single Side Color,Accessories,LOGIA Ceramic 700ml Matt Black Cap- Single Side Color,['Repeat order'],Accessories,['reczd7Qsc5VYhiTHe'],,['recTPTgCcQmd80v6C'],0.43,"[{'id': 'attOr5NPzlpJBDxdy', 'width': 417, 'height': 597, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/v5tqfakWGnQnS-FhNmE92Q/XC9CXVVYr2Jyq2jygOH5kGf8GreZGJS6k1UrhYk74Y2Jo6jhI9NKvWjuNoyb8hEDlG7MEpAhLVovqGA5IHMDmJN2rqrpqexroldfjDq-Sk4/UF7I_0ATEt0lYuY0IvjIiethlAJt1o2fvCfV0_eEPFA', 'filename': 'image.png', 'size': 369965, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/FY_e4jlwB3swrvxYlHjUKw/NH_39Ea122gX_9ga79mZ6YBqA9wdIGH8JQZCma-vS25rviJGYI5LDVNpp79Q80yuvH3ZXXCXoJ2B6BeZzqlurw/OrnmT-RAzHjd2eO_sIvb8M6NFz3gIvUqBfftoliTSmE', 'width': 25, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/DEYbPHMxC3aa_7ZbJezpEg/s6m0PHkw76ZP315_-3y_rrWXLipve6i8oaLbUdEtY7Xec8y6s4j5zM6Ryocmto-b_KatSma9BIXGzLpy1ye68w/5XT_NCqSTThxGg5hdN2w59Eiu-iVmZkA9kz5xYjpUdE', 'width': 417, 'height': 597}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/vzQZGLt04J-iIEsB8kbswg/SaHwCewyqIKWKHoWaA3GBp_HlpcXzxiMmglXe9FgUu6e5WJIegOXeOHnfB4lnDNc8bTDTNxK5EgoBIUHFtFvAA/b5Jpkvnn_veNWuLhrD9u7FlmwHKW72Vx3Ebpko83zFk', 'width': 3000, 'height': 3000}}}]",,Ceramic,,1.95,,
Glass - Baseball Bat 750ml,Glass,Baseball Bat 750ml,['Repeat order'],Glass,"['recCDjHO9APvc5vMT', 'reclW9W1DKdDKB1y5', 'recoGUr4OXZwvUF8M', 'recAI7RQbA7Q6weXv', 'recyLSgYZghQ3ibjr', 'recI38K4rFzGb64Iq', 'rect5a5dRPeKsxPq5', 'recIPnd7OAAfBDOzn']","['Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com', 'Feliks@AikoImporters.com', 'lwelch@aikoimporters.com', 'Cassady@aikoimporters.com', 'Akogan@aikoimporters.com']",['recyN9PCcdYScELcF'],1.13,"[{'id': 'attQtpFgGy4jTNSQ8', 'width': 406, 'height': 1018, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/McX1ReONejeJYdLJKAODaA/Byn8c5KiHIYQqZxgVEffpEKFv6j6eATndCKFRR7AJMcu5F2ElGpA8yugeKcKd0cnIiNtaoHOJ6kIvzGtw5CHvsUlo6H31QsL1WTctR1FJ-I/Xspzgd1iwIYlX6ph57QQotaH68w8dBQyhOuN6pStN6k', 'filename': 'Baseball bat.JPG', 'size': 42674, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/l3HyOVaIVmtDR3gvb1fvvg/VJrmgE76EdNMdSld-TwndqBuWmW-i5K9PMnYjDiiCpxT9GEScQ068Gp9gNlr8TZq1FnM_5dUotu8zt_thsTo-Q/zCYKAIqAqvCbOT6yCFolPyc9jq6FTRCtBf2WRUou7RQ', 'width': 14, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/twr3gcfL4SN2yTgGXk_ouQ/n_n0bK4r7Dyb6fq3REIlSy-dbkbzwT-gJ72tBnm4CGZULSlVrOVrOzzcydbX5Hboxx27KdNHwF5I8uGRYywD_w/rNIZ9KB8TcCPHxRS3_aHu7k7tlQMQHC2u4kvotirlM0', 'width': 406, 'height': 1018}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/szihqz4RX4vC4KCpzRjohQ/XUa3e9QtYOan1yDKFREdHOu1tuxePm9oQMR-Oh0_cRhQHO1VlSTudYxB2alETvjRHik_ysNUTtZEUlhhf1N9hA/sX_LoOzAtc4LNpqoxy6n3NNwsCnwl0x-jYDOkCMOxAU', 'width': 3000, 'height': 3000}}}]",620.0,glass,,5.66,,
Glass - CENOTE BLUE SPRY 700ML,Glass,CENOTE BLUE SPRY 700ML,['Repeat order'],Glass,,,['rec6HZLAzIYFQUUuw'],0.89,"[{'id': 'att0mmvIX1BKAlUgJ', 'width': 1280, 'height': 1706, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/mx175sYisfmnjE9vWGecOw/X0WM5vsW5aGO5jxyyWtXxG8DQm896XoyJ8dmpfuynf-VrH8SS0jmT8zQtUFTU7yRSN416cyHtPKjWDe2S4ePo0INJ9ZodRwpDiZejU3SD5V2GwU_kCNL9h5373wOkdiB/bywQCWmbFarWKTtSPLNHNXGdbgrbKCE2hhAYabBFw7w', 'filename': 'd74010e88e78f801cff7b0c8c3ac297.jpg', 'size': 924244, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/829GhjhxpKBHUSWqJdeCPA/eUPi1BGoUvOT-HB_41EAsj5WnWEgdU_mnTMZNcAYtsKat5n7GRfiORa-Li8lOPexgoyUyHXV6v2AGtpoK7Clxw/2-FMJghqCyNbdoFOf4bG6zVMGiX9Rue2fkdzsVxxzqA', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/TdDt3-CKH74ViPSjpCt7Mw/f12VOP-YhZNgNZ-JqY38ZQOAAiuVGkQGGecZGY7KAXJpeodhkjvbf2zK61ZUY3kV4DJKvWq-4RjwtUG6gEB6-w/cLejibpHiHLDYVqNv5x0qsPd73cD6e1lb_6SfW0a3vw', 'width': 512, 'height': 682}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/D7xTXe6UdDZYzTDcHU46Dg/d8cuhGBgS575AjlM__GGe5YjhwngblFXn_ci5358y0vxhHynmM_C0HF__73jWtusP6O8gUDCs6Boay_nV70W7Q/G59Yc-cFMSaEN6Sof55USflnnrkTsSJbNs3jyMCQBUw', 'width': 3000, 'height': 3000}}}]",964.1,flint,,4.75,,
Accessories - Aman tequila  750ml brownish red zamak cap,Accessories,Aman tequila  750ml brownish red zamak cap,['Repeat order'],Accessories,,,['recLoe3HyY3Rz80b0'],1.21,"[{'id': 'attlt93s2iCIbKyAt', 'width': 101, 'height': 100, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/yAM_wt3mkVhyC28Op_cSdQ/2Th7jL7MJ0X4uQdxTkY0vRmIA9zhVHfJrLZGMwuJa2WYKl2Bay7y0vZEZ2aXt8j7SoOdHmRjQCLqdKJQQSJpBvP8Q1aicJSQhHnNRuzm1lmfCERfTfBPJ7zbTjopIujW/lavHviDDz3Varu2JSd0E9H7JrC9RiC1LWILxmH58Pbw', 'filename': '410a28342207b6e0b5229b3cb2e8d6f.png', 'size': 20561, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/POmZFQLlCDnU2wbYnk3now/9PbnDff3URWI58s-oTY0SSE2BOiltgr5hIMLGCzGPJVdK3xM_FX99GHETOy0SWQUAV-0d3vxFVZAXoiV2JOu0g/2J7AXdtbYYnUnxg9dozwAkcb6fu90y4bsmT6H-HXbQI', 'width': 36, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/cyTytq_Gq5jkGZCIrcOaMQ/QNQ-skKsxAxOGf-YbpB9utCOjK2iVYyWlBm8oz4ynwOErvfI528Sp437KLBiJUOVklJlOOoepAH3kklVsIB8Nw/vhy1DOGr5BE-PmBiUmTgj7eY2Om7Mtij9bZsyCjJ7gE', 'width': 101, 'height': 100}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/vbHwxV_UlfHz5VpxfYFjHA/QwLV48mfj8vKKETIWxl0xwKmlLRQ1_2OEcqiIJNHPpDzsd0j4UvhsLpebJc9gxA7XLO7fSt7qigwchXgLiRQow/uhBT1QvKjYPiNXfDaA4p7Z__Tig1wAYB2G5J5o2RTmY', 'width': 3000, 'height': 3000}}}]",52.0,Zamak,,0.87,,
Accessories - spray painted in green,Accessories,spray painted in green,,Accessories,['recj8wOB8XKkUB1XM'],"['prigney@thesheddistillery.com', 'claire.s.bay@gmail.com']",,,,,,,,,
Accessories - Angry Dog Ceramic 100ml Wooden Cap+ Cork Blue,Accessories,Angry Dog Ceramic 100ml Wooden Cap+ Cork Blue,['Repeat order'],Accessories,['receAazfhPlftgmzo'],['dairenort@gmail.com'],,0.38,"[{'id': 'attyPZMgKhnt60HnK', 'width': 272, 'height': 258, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/lHVpeyGpoNCC6JoYUCUlqg/IRYtJ-dbmOqxeiTKaUu8dIWL9pQa2s4_0xhwm1_NhENXwjEtsb44asZeX_c6W_mqwIrM1K2thpzg8jqcLMTjoMrT8XPxYh1Omm4BrNrFe-s/KeLdGJCSRcdC21mR0WqOem4qnALKblUZxRzbLK3m6c8', 'filename': 'image.png', 'size': 157725, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/y3vuqUE811LXUxNTAB0GSA/GQSqywBfqoKjr1fs6rW0ZeURyNO1eg8RZuzo-xM1rwPaWhu5BIqA_r5oC9eJ5ELL8VHCtH3SZnQUaA4YtyQ5kA/PjNN_K699abH2Nol7GY1tsbyxgwZcWd8nCE70ZdA8uE', 'width': 38, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/dffDxlKpKSHFv7wG3c9gRA/c1dUtIwyGGi4FZJZ53fZDH-FLUONJJetQ0zXpIGlL48us4r_JNUxsCle7WEDft9Atwx7x8cnCqVhP6-7l0Hv8w/WZLDAj5TZWgvuN5_L1QqUo0Um7HamPR33StIgpm-6Ys', 'width': 272, 'height': 258}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/VWdhrfO1XYmUDUwE2ZSQ1g/wq8flix3dxBPSEY2i1D1V5Wmw5r3nS4JfbPSn42QviY4NbHAdDjfN_LvxHI_m0w8uSSE7LKStNO-iyD8JJPl7w/WnzV2q3RhF-xkR4ecf-yA0mn-heObEDOs9Fr1Fa9Abo', 'width': 3000, 'height': 3000}}}]",6.0,wood+cork,,1.76,,
Accessories - Macaulish 750ml Barcode+UPC label,Accessories,Macaulish 750ml Barcode+UPC label,['Repeat order'],Accessories,,,['recyN9PCcdYScELcF'],0.05,"[{'id': 'attIg7YDhhakIXtNi', 'width': 230, 'height': 119, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/a31ek4AHx5dU7ca1tFSXcg/kg7udtgDtXkLZYDyu6gSKKWWF_OMhjTocngQIPydVozUPVG1_pVuUZMFNWZTuJlYBEi-HaE55DPGewzp8BCGt06QUf45ebCbqsm5IWhlzwbL5Kj-TEnVxFgfaJIOaVkF/Ec1kNJljj_xVDp9CPM0qx2fuzy3KXwAegaeF2BNktLg', 'filename': '17273a87b3ee354adea78c5410a5964.png', 'size': 4755, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/WhYPnKVFA2Q6ZezclT8GcA/tKR-WEoIMPvBaLmbDlaAeQ0mvEM5X2SS56tu0CEEWztYW2h0TgwckLx8Uv1Ic8VsRuV1jOjJlbloD8gq7ycm_w/zYDIjlC3NjxE-KRWBsT6jm6p1eGhhWQzX926C9spvG8', 'width': 70, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/mtmcaryW_lZKLafovzdVnA/Zh3w_unxLso0DbnmbLYK5GhVfK2-cwaMnMtufiRONURL50FqglPY2KVstBQhiDmApeA8h9sEfYbOio_k5kN-kQ/JawCZR6BZJ6zusyKSpABvqLNFcv8fQLwrCUuNAho7Ws', 'width': 230, 'height': 119}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/XM2FcW3vWrRv8EDdhVrCRQ/DnhnZiAwRljV0ESLeZ86kn6UwHqfPNyNr0SQPTsw70FUPo-6J3bYVoFmQ4FSUrADmTvhNR-DcNTphEUDpwXSxg/viIt6HLPQV6XPZDhYi7xnTkwHBXWpBcBtv7PLne3RC4', 'width': 3000, 'height': 3000}}}]",1.0,plastic paper,,0.23,,
Accessories - Grim Reaper 1000ml Cork,Accessories,Grim Reaper 1000ml Cork,['Repeat order'],Accessories,['recrxADte5wF1tAGJ'],['Mark M mark@saharex.com'],,,"[{'id': 'attsQDkXKH7Jnp2im', 'width': 254, 'height': 283, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/7paEcxal2GoE609lS3BbYg/5y6QAt0koA3ucAXNFHI18W3-VKsyYbQkJibT_xrzXnO4VR-ncO6Uw6OGMXb4pT-Ig3mnq-j6xLrWmgSAkAGKj34Q5LZc2PJK-2ZIml3Ph8g/8QEmQneC1t4lZO_ak9fkt5LyfCzPK0-BQlPRPX-VPTo', 'filename': 'image.png', 'size': 161666, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/hB4iAGHqLUzdzCiFBvPLzA/EOQif-88MJWyvdtDpCnbZDTzaiJl2YWcjYkk-WywBp0oqIdtIZBviQOAlNuJupKiuqw2ViudMnJhophxEtetBw/cmsjGaZt1kx2hypD7AOs9EJ3BVdbZ5bLGJ-baovwdnE', 'width': 32, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/qveDZqmHdEvPLycaQ9jsqQ/Pru_CCP8oqFBapM3lTF73DzgifXudhIWEoOTP9FdXkTKNbKprZkUDHpOJ_AR_B1t8wzJFrhQBUgNLd3KCEWftg/b_yV4jfmgk1HnpGlerE3AtcaWY1SkGLhhvXRNGTKgMU', 'width': 254, 'height': 283}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/D4QlErk3hQFqFgGK7vUk1A/Bk6EvyEhUIgLqfCpzgL006wJuJc63ZfBYBlUJu9YO9pfk9rTY2eL1ffqBCgpSriGM_DBQk_hXazz90VeirjOGw/cXQFTo4y_M7h8cFjanreB3UPti07x1_ADSpxpGNkKfI', 'width': 3000, 'height': 3000}}}]",,plastic,,0.78,,
Ceramic - KOMOS Ceramic 750ml,Ceramic,KOMOS Ceramic 750ml,['Repeat order'],Ceramic,,,,,,,,,,,
Packing - TROO Ceramic Matt White 750ml Paper Sealing Label Green,Packing,TROO Ceramic Matt White 750ml Paper Sealing Label Green,['Repeat order'],,['recnW9tt7usfqNRbA'],[None],,0.0,"[{'id': 'attWdOTo7jupnJzj8', 'width': 1444, 'height': 1280, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/kAviefvJRkGOAUgsrhPb4A/q_1lHFKN9_QkZkatcygk-KeXWaVBhuogHLHpbWCUvOF8Tq-EiLqVG6TDunrhrlqUErea0lN79cQqp2w3BbyldSZuEef43lpwsutLKRbw16G65MTtijLz3PKp_Aj_t-eV/VMnLLqOv7tlMPfXTLSAZP6qG18QtL25_5T9qiMQDspc', 'filename': 'c75f70c239ae107fb892403bcadcc20.jpg', 'size': 496118, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/MCNE5lbBw8fBn8wfRz-Yog/o6eniqjH3K8jLJitXpL51PhKtiTrir85VfMxFSUfgDY6BSj-Urtp8SUZgWv28xKlOYb5Ju2bjzdRu2rGgDsKXg/JYdi82EY5Q1jgCeGypW0V9oS47k7NnlJLUfU4zz96OM', 'width': 41, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/WEjee3v0khdJ9Z13PCQPeA/DlyCY6wexX9f_5VAR_nsLXEG1nEOWAt2KqfIX8Eh3rd2aeF8mLCzvmRpnizXxpdut43H8St2LSlNaY7L65-Sag/M96ZCLhfr7g-k3v_0pPwFsloenQetR-CdjskLYkNDI0', 'width': 578, 'height': 512}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/tsOF3ec1mYhgDsmFrtdZew/g_TczxDVnKQT3SKGX4MW9uC0Ye2l3Yy5npoRxs9gbDT5_cbTUciLsxPs3gwptX3P78EJgwuNAVGj9VLG5Tb43Q/zEZji4j_6fjXdh21_MkTItvv2mmEt7Xbd1KaNeLPmEE', 'width': 3000, 'height': 3000}}}]",,Paper,,0.25,,
